d,c_n,c_bn,days
1/5/2010,5277.899902,9192.150391,550
1/6/2010,5281.799805,9223,551
1/7/2010,5263.100098,9192.950195,552
1/8/2010,5244.75,9160.700195,553
1/11/2010,5249.399902,9173.549805,554
1/12/2010,5210.399902,8985.099609,555
1/13/2010,5233.950195,8926.099609,556
1/14/2010,5259.899902,8910.799805,557
1/15/2010,5252.200195,8911.099609,558
1/18/2010,5274.850098,9093.25,559
1/19/2010,5225.649902,9135.900391,560
1/20/2010,5221.700195,9126.349609,561
1/21/2010,5094.149902,8919.299805,562
1/22/2010,5036,8772.650391,563
1/25/2010,5007.899902,8696.599609,564
1/27/2010,4853.100098,8329.799805,565
1/28/2010,4867.25,8423.849609,566
1/29/2010,4882.049805,8651.549805,567
2/1/2010,4899.700195,8649.25,568
2/2/2010,4830.100098,8468.150391,569
2/3/2010,4931.850098,8631.849609,570
2/4/2010,4845.350098,8471.099609,571
2/5/2010,4718.649902,8223.25,572
2/8/2010,4760.399902,8342.200195,573
2/9/2010,4792.649902,8392.450195,574
2/10/2010,4757.200195,8290,575
2/11/2010,4826.850098,8381.400391,576
2/15/2010,4801.950195,8312.700195,577
2/16/2010,4855.75,8397.799805,578
2/17/2010,4914,8551.5,579
2/18/2010,4887.75,8573.900391,580
2/19/2010,4844.899902,8487.099609,581
2/22/2010,4856.399902,8493.349609,582
2/23/2010,4870.049805,8512.950195,583
2/24/2010,4858.600098,8504.549805,584
2/25/2010,4859.75,8537.799805,585
2/26/2010,4922.299805,8722.75,586
3/2/2010,5017,8922.099609,587
3/3/2010,5088.100098,9039.450195,588
3/4/2010,5080.25,9013.799805,589
3/5/2010,5088.700195,9038.450195,590
3/8/2010,5124,9145.950195,591
3/9/2010,5101.5,9138.200195,592
3/10/2010,5116.25,9119.25,593
3/11/2010,5133.399902,9186.849609,594
3/12/2010,5137,9172.900391,595
3/15/2010,5128.899902,9085.5,596
3/16/2010,5198.100098,9102.950195,597
3/17/2010,5231.899902,9188.400391,598
3/18/2010,5245.899902,9252.299805,599
3/19/2010,5262.799805,9270.799805,600
3/22/2010,5205.200195,9186.950195,601
3/23/2010,5225.299805,9222.900391,602
3/25/2010,5260.399902,9318.25,603
3/26/2010,5282,9456.200195,604
3/29/2010,5302.850098,9517.599609,605
3/30/2010,5262.450195,9470.299805,606
3/31/2010,5249.100098,9459.599609,607
4/1/2010,5290.5,9507.75,608
4/5/2010,5368.399902,9698.599609,609
4/6/2010,5366,9728.200195,610
4/7/2010,5374.649902,9681.049805,611
4/8/2010,5304.450195,9520,612
4/9/2010,5361.75,9656.5,613
4/12/2010,5339.700195,9575.450195,614
4/13/2010,5322.950195,9483,615
4/15/2010,5273.600098,9344.599609,616
4/16/2010,5262.600098,9353.75,617
4/19/2010,5203.649902,9302.900391,618
4/20/2010,5230.100098,9446.099609,619
4/21/2010,5244.899902,9555.299805,620
4/22/2010,5269.350098,9623.25,621
4/23/2010,5304.100098,9813.299805,622
4/26/2010,5322.450195,9839.150391,623
4/27/2010,5308.350098,9756.450195,624
4/28/2010,5215.450195,9634.900391,625
4/29/2010,5254.149902,9803.799805,626
4/30/2010,5278,9870.349609,627
5/3/2010,5222.75,9775.5,628
5/4/2010,5148.5,9623.700195,629
5/5/2010,5124.899902,9581.849609,630
5/6/2010,5090.850098,9582,631
5/7/2010,5018.049805,9276.099609,632
5/10/2010,5193.600098,9656.25,633
5/11/2010,5136.149902,9626.099609,634
5/12/2010,5156.649902,9722.200195,635
5/13/2010,5178.899902,9773.349609,636
5/14/2010,5093.5,9589.049805,637
5/17/2010,5059.899902,9526.5,638
5/18/2010,5066.200195,9492.25,639
5/19/2010,4919.649902,9108.349609,640
5/20/2010,4947.600098,9174.599609,641
5/21/2010,4931.149902,9135.700195,642
5/24/2010,4943.950195,9087.25,643
5/25/2010,4806.75,8851.75,644
5/26/2010,4917.399902,9027.599609,645
5/27/2010,5003.100098,9258.450195,646
5/28/2010,5066.549805,9312.599609,647
5/31/2010,5086.299805,9363.700195,648
6/1/2010,4970.200195,9119.049805,649
6/2/2010,5019.850098,9192.450195,650
6/3/2010,5110.5,9387.700195,651
6/4/2010,5135.5,9455.950195,652
6/7/2010,5034,9292.599609,653
6/8/2010,4987.100098,9185.299805,654
6/9/2010,5000.299805,9238.200195,655
6/10/2010,5078.600098,9346.450195,656
6/11/2010,5119.350098,9451.75,657
6/14/2010,5197.700195,9534.099609,658
6/15/2010,5222.350098,9554.400391,659
6/16/2010,5233.350098,9588.900391,660
6/17/2010,5274.850098,9613.400391,661
6/18/2010,5262.600098,9576.25,662
6/21/2010,5353.299805,9758.049805,663
6/22/2010,5316.549805,9675.5,664
6/23/2010,5323.149902,9718.950195,665
6/24/2010,5320.600098,9673.599609,666
6/25/2010,5269.049805,9451.099609,667
6/28/2010,5333.5,9542.200195,668
6/29/2010,5256.149902,9381.400391,669
6/30/2010,5312.5,9464.599609,670
7/1/2010,5251.399902,9349.400391,671
7/2/2010,5237.100098,9357.150391,672
7/5/2010,5235.899902,9385.349609,673
7/6/2010,5289.049805,9550.900391,674
7/7/2010,5241.100098,9449.25,675
7/8/2010,5296.850098,9566.599609,676
7/9/2010,5352.450195,9713.700195,677
7/12/2010,5383,9850.599609,678
7/13/2010,5400.649902,9931.599609,679
7/14/2010,5386.149902,9956.650391,680
7/15/2010,5378.75,9932.099609,681
7/16/2010,5393.899902,10013.450195,682
7/19/2010,5386.450195,10032.5,683
